id,used,name,region,stemmedName,extractedName,latitude,longitude
11350,True,Auvila,other,auvil,Auvila,62.08333,30.36667
4937,True,Auvinenviettää,other,auvinenviet,Auvinenviettää,,
8229,True,Auvoinen,other,auvoin,Auvoinen,,
10843,True,avijärvi,karelia,avijärv,avijärvi,,
525,True,Avioit,,avioi,Avioit,,
3717,True,Ävräpää,karelia,ävräp,Ävräpää,,
9689,True,Äyiäpää,karelia,äyiäpä,Äyiäpää,,
4713,True,Äyräpä,karelia,äyrä,Äyrä,,
9395,True,Ayrapaä,karelia,ayrap,Ayrapaä,,
1949,True,Ayräpää,karelia,ayräp,Ayräpää,,
9097,True,Äyrapäa,karelia,äyrap,Äyrapäässä,,
703,True,Äyräpää,karelia,äyräp,Äyräpää,60.71074,29.56867
8359,True,Äyräpää-,karelia,äyräpää-,Äyräpää-,,
9203,True,Äyräpääas,karelia,äyräpääas,Äyräpääas,,
4329,True,Äyräpääkk,karelia,äyräpääk,Äyräpääkk,,
8232,True,Äyräpäb,karelia,äyräpäb,Äyräpäb,,
8334,True,Äyräpäe,karelia,äyräpäe,Äyräpäe,,
9087,True,Äyräpäii,karelia,äyräpäi,Äyräpäii,,
9425,True,Äyräpäö,karelia,äyräpäö,Äyräpäö,,
6047,True,Äyräpäu,karelia,äyräpäu,Äyräpäu,,
8954,True,Äyräpoo,karelia,äyräpo,Äyräpoo,,
